,dataset,trainsize,testsize,length,classes,type,repeats,accu mean,accu std,train mean,train std,test mean,test std
0,Adiac,390,391,176,37,IMAGE,10,0.734015345,0.006925864,1329874.369,34739.30152,324591.2824,14477.87899
1,ArrowHead,36,175,251,3,IMAGE,10,0.875428571,0.006487385,37155.81736,6600.748271,42748.00477,5799.943318
2,Beef,30,30,470,5,SPECTRO,10,0.72,0.023306863,123126.0188,26304.12533,29610.645,6485.390347
3,BeetleFly,20,20,512,2,IMAGE,10,0.875,0.042491829,71637.57467,1862.836848,19918.87123,1049.603494
4,BirdChicken,20,20,512,2,IMAGE,10,0.865,0.052967495,70741.69451,2620.092151,17751.30486,598.9379282
6,Car,60,60,577,4,SENSOR,10,0.846666667,0.023306863,469253.5355,8895.187974,106492.0943,3450.673071
5,CBF,30,900,128,3,SIMULATED,10,0.993333333,0.002511974,8340.919867,194.6454594,63537.73112,2381.059458
7,ChlorineConcentration,467,3840,166,3,SIMULATED,10,0.633880208,0.003324664,733748.8822,11128.25117,1350672.657,22597.64848
8,CinCECGtorso,40,1380,1639,4,ECG,10,0.934347826,0.008312829,1802170.561,271535.3314,12636636.96,1905920.76
9,Coffee,28,28,286,2,SPECTRO,10,1,0,18454.44859,695.5163086,4073.522074,217.7028898
10,Computers,250,250,720,2,DEVICE,10,0.6444,0.01312504,4649708.834,72494.10197,1115245.35,30055.68151
11,CricketX,390,390,300,12,MOTION,10,0.802051282,0.006139585,2112067.647,91990.29233,444983.5441,21455.45134
12,CricketY,390,390,300,12,MOTION,10,0.793846154,0.008898745,2255064.165,253388.0576,463692.5434,59117.79788
13,CricketZ,390,390,300,12,MOTION,10,0.801025641,0.007567844,2200457.334,338952.4947,471181.6864,91468.79469
14,DiatomSizeReduction,16,306,345,4,IMAGE,10,0.965686275,0.002310806,18117.88707,625.5876939,80765.33369,7665.588882
15,DistalPhalanxOutlineAgeGroup,400,139,80,3,IMAGE,10,0.730935252,0.012779772,60487.43565,1055.505951,5629.052945,204.2082457
16,DistalPhalanxOutlineCorrect,600,276,80,2,IMAGE,10,0.792753623,0.009005484,134301.6509,1195.086199,15097.9345,274.4337453
17,DistalPhalanxTW,400,139,80,6,IMAGE,10,0.65971223,0.016631694,65873.53503,778.4377542,6017.632367,141.404229
21,Earthquakes,322,139,512,2,SENSOR,10,0.753956835,0.006611055,2705077.953,473374.1517,260908.7092,50220.17574
18,ECG200,100,100,96,2,ECG,10,0.909,0.01197219,23805.53898,425.9724771,5304.147469,162.2336278
19,ECG5000,500,4500,140,5,ECG,10,0.936488889,0.001141798,338372.8649,8032.512193,601951.8202,22855.03409
20,ECGFiveDays,23,861,136,2,ECG,10,0.849245064,0.011137452,7279.466893,132.1007617,61714.37108,2382.35289
22,ElectricDevices,8926,7711,96,7,DEVICE,10,0.705965504,0.00230618,5693039.071,67894.83597,1175243.918,15670.35134
23,FaceAll,560,1690,131,14,IMAGE,10,0.893846154,0.017373132,678490.8687,19947.48932,444254.7407,21635.90129
24,FaceFour,24,88,350,4,IMAGE,10,0.973863636,0.013176157,46034.96245,862.8007504,39327.14114,2495.510574
25,FacesUCR,200,2050,131,14,IMAGE,10,0.945902439,0.001930103,144649.2276,4011.614554,328036.2075,27510.06762
26,FiftyWords,450,455,270,50,IMAGE,10,0.831428571,0.006045621,3336801.395,847118.9135,690309.5298,176627.2479
27,Fish,175,175,463,7,IMAGE,10,0.934857143,0.011171717,1145713.642,39378.8061,266386.7426,10624.9798
28,FordA,3601,1320,500,2,SENSOR,10,0.854621212,0.003203191,50439804.65,9488927.275,4556724.524,730301.9134
29,FordB,3636,810,500,2,SENSOR,10,0.714938272,0.007882565,49700419.92,9352191.893,3029304.357,405348.4038
30,GunPoint,50,150,150,2,MOTION,10,0.997333333,0.003442652,15485.93555,389.7594106,11774.80229,323.6629499
31,Ham,109,105,431,2,SPECTRO,10,0.66,0.027327415,432563.4585,6754.907096,95236.2526,1812.340076
32,HandOutlines,1000,370,2709,2,IMAGE,10,0.921351351,0.006036708,254863592.2,24498858.46,19808171.07,1820133.234
33,Haptics,155,308,1092,5,MOTION,10,0.444480519,0.011801004,5271097.129,384904.9979,2119719.562,148866.0275
34,Herring,64,64,512,2,IMAGE,10,0.5796875,0.03997205,471106.1344,9328.638859,106355.4886,2141.361206
35,InlineSkate,100,550,1882,7,MOTION,10,0.541818182,0.014919435,10483379.51,1776380.363,15101960.67,2556134.446
36,InsectWingbeatSound,220,1980,256,11,SENSOR,10,0.618686869,0.005563203,716954.5317,16686.35888,1309899.57,42265.60004
37,ItalyPowerDemand,67,1029,24,2,SENSOR,10,0.967055394,0.001250422,697.807266,32.28502586,2497.395316,119.6472698
38,LargeKitchenAppliances,375,375,720,3,DEVICE,10,0.781866667,0.007930563,5436460.686,1320993.621,1319616.455,318571.4373
39,Lightning2,60,61,637,2,SENSOR,10,0.86557377,0.016931075,420478.0521,5954.392193,91085.91985,1976.23839
40,Lightning7,70,73,319,7,SENSOR,10,0.821917808,0.012915192,215869.5533,5646.535292,51049.34811,2280.561593
41,Mallat,55,2345,1024,8,SIMULATED,10,0.957569296,0.002858875,754469.4462,23323.60792,6437113.082,492165.8817
42,Meat,60,60,448,3,SPECTRO,10,0.933333333,0,156927.4793,5850.372774,36618.50824,2581.833029
43,MedicalImages,381,760,99,10,IMAGE,10,0.758157895,0.003863634,199437.0433,3473.712024,95021.08529,3206.274452
44,MiddlePhalanxOutlineAgeGroup,400,154,80,3,IMAGE,10,0.562337662,0.02103023,88247.97349,9875.647481,10008.28435,1078.939997
45,MiddlePhalanxOutlineCorrect,600,291,80,2,IMAGE,10,0.836426117,0.011010873,199614.4201,2373.192245,22874.03256,430.6058772
46,MiddlePhalanxTW,399,154,80,6,IMAGE,10,0.529220779,0.015074013,121717.1137,2986.87984,11223.64166,1234.171657
47,MoteStrain,20,1252,84,2,SENSOR,10,0.902396166,0.007171716,2078.955145,73.72136215,29573.45533,1086.863648
48,NonInvasiveFetalECGThorax1,1800,1965,750,42,ECG,10,0.906615776,0.002979503,107392336.1,21058737.83,24152713.53,5693685.075
49,NonInvasiveFetalECGThorax2,1800,1965,750,42,ECG,10,0.939898219,0.003048247,99270480.32,18237338.33,21301308.14,4338385.277
51,OliveOil,30,30,570,4,SPECTRO,10,0.866666667,0,141196.2737,2968.76614,38424.9145,1466.560935
50,OSULeaf,200,242,427,6,IMAGE,10,0.827272727,0.006401625,1282255.295,36155.90632,370242.3705,14672.2259
52,PhalangesOutlinesCorrect,1800,858,80,2,IMAGE,10,0.823543124,0.005767628,586641.0247,8334.868455,65063.07777,1442.634842
53,Phoneme,214,1896,1024,39,SENSOR,10,0.320094937,0.006331311,25760348.78,4574785.683,58378345.66,9213924.923
54,Plane,105,105,144,7,SENSOR,10,1,0,47394.95968,2042.375953,11412.78275,902.5389363
55,ProximalPhalanxOutlineAgeGroup,400,205,80,3,IMAGE,10,0.846341463,0.006604909,89602.30082,670.1935963,10394.2878,131.9082225
56,ProximalPhalanxOutlineCorrect,600,291,80,2,IMAGE,10,0.873195876,0.007325671,162626.49,29678.7699,19144.96628,3667.659079
57,ProximalPhalanxTW,400,205,80,6,IMAGE,10,0.77902439,0.013613942,104679.5698,1723.717391,12440.38883,376.6192425
58,RefrigerationDevices,375,375,720,3,DEVICE,10,0.532266667,0.008357447,5275597.024,1026192.659,1136213.627,215094.0358
59,ScreenType,375,375,720,3,DEVICE,10,0.4552,0.011386802,7308848.843,194359.683,1689414.938,43062.34359
60,ShapeletSim,20,180,500,2,SIMULATED,10,0.776111111,0.017577967,120866.4561,1955.582472,259094.311,5468.356148
61,ShapesAll,600,600,512,60,IMAGE,10,0.885833333,0.00326315,18831458.57,3579065.572,4869520.874,897211.641
62,SmallKitchenAppliances,375,375,720,3,DEVICE,10,0.744266667,0.006705075,4559000.733,1088676.66,1142427.275,282224.3605
63,SonyAIBORobotSurface1,20,601,70,2,SENSOR,10,0.845757072,0.008875832,1508.732395,53.60251747,9911.496162,438.6497038
64,SonyAIBORobotSurface2,27,953,65,2,SENSOR,10,0.896327387,0.00529995,1938.706103,45.15111258,17069.18169,488.0542046
65,StarlightCurves,1000,8236,1024,3,SENSOR,10,0.981289461,0.000596063,19096382.91,3813491.215,27431300.44,5565794.417
66,Strawberry,613,370,235,2,SPECTRO,10,0.968378378,0.005560829,1315760.464,140438.6575,187595.1188,4043.895655
