,dataset,trainsize,testsize,length,classes,type,repeats,accu mean,accu std,train mean,train std,test mean,test std
67,SwedishLeaf,500,625,128,15,IMAGE,10,0.94656,0.005070875,523266.1085,10842.65395,148252.8732,6941.310629
68,Symbols,25,995,398,6,IMAGE,10,0.96160804,0.00175999,58488.05212,2663.122892,572277.0506,27510.50824
69,SyntheticControl,300,300,60,6,SIMULATED,10,0.995333333,0.001721326,36644.9595,5883.910701,9313.268096,1461.889431
70,ToeSegmentation1,40,228,277,2,MOTION,10,0.924561404,0.014144312,78834.89332,977.1488248,111872.3279,2431.435458
71,ToeSegmentation2,36,130,343,2,MOTION,10,0.862307692,0.008465423,84568.34953,1643.249708,82195.86885,2377.379001
72,Trace,100,100,275,4,SENSOR,10,1,0,118634.1986,2518.153505,27895.02857,1102.150063
73,TwoLeadECG,23,1139,82,2,ECG,10,0.988586479,0.002745341,1961.208235,78.70450197,24078.21039,1163.603166
74,TwoPatterns,1000,4000,128,4,SIMULATED,10,0.999575,0.000312916,402194.6878,32929.55852,412618.2533,7687.477286
75,UWaveGestureLibraryAll,896,3582,945,8,MOTION,10,0.97225014,0.000576659,28252157.3,7550434.588,20601141.2,3405450.274
76,UWaveGestureLibraryX,896,3582,315,8,MOTION,10,0.828559464,0.002352175,3980399.13,580057.8452,2893928.084,416883.2978
77,UWaveGestureLibraryY,896,3582,315,8,MOTION,10,0.761501954,0.002433957,4082559.145,743046.4556,2921889.353,564039.1866
78,UWaveGestureLibraryZ,896,3582,315,8,MOTION,10,0.763958682,0.003101076,3657712.053,871578.6051,2643728.906,680532.8235
79,Wafer,1000,6164,152,2,SENSOR,10,0.995457495,0.000275742,287764.2001,5768.886368,354685.5468,14945.90648
80,Wine,57,54,234,2,SPECTRO,10,0.568518519,0.024768398,45096.94543,565.2537373,9284.284604,279.3311592
81,WordSynonyms,267,638,270,25,IMAGE,10,0.778683386,0.00585535,942604.744,24162.66368,469992.0312,25005.76842
82,Worms,181,77,900,5,MOTION,10,0.718181818,0.02125184,5696914.342,216676.0319,571526.072,23607.73136
83,WormsTwoClass,181,77,900,2,MOTION,10,0.784415584,0.017531131,5371560.689,122579.328,513442.6379,14466.78978
84,Yoga,300,3000,426,2,IMAGE,10,0.8786,0.002433308,1930993.73,108177.382,4282988.849,114553.3995
