,dataset,trainsize,testsize,length,classes,type,repeats,accu mean,accu std,train mean,train std,test mean,test std
46,MiddlePhalanxTW,399,154,80,6,IMAGE,10,0.544155844,0.015846758,31975.10839,738.6380046,7461.143482,195.2151892
47,MoteStrain,20,1252,84,2,SENSOR,10,0.895447284,0.007256707,623.9636506,25.328995,22544.41526,929.1477313
48,NonInvasiveFetalECGThorax1,1800,1965,750,42,ECG,10,0.9043257,0.003332805,45120722.48,5921336.943,22374674.73,3830793.388
49,NonInvasiveFetalECGThorax2,1800,1965,750,42,ECG,10,0.936692112,0.001699742,37896339.34,6790160.217,21665488.54,3648723.694
51,OliveOil,30,30,570,4,SPECTRO,10,0.866666667,0,33532.39647,1056.85689,21534.31595,873.2467247
50,OSULeaf,200,242,427,6,IMAGE,10,0.770661157,0.012047421,371575.9169,7851.502386,253693.5995,9007.46885
52,PhalangesOutlinesCorrect,1800,858,80,2,IMAGE,10,0.817715618,0.004436395,190030.7755,2089.072906,52709.67194,629.854967
53,Phoneme,214,1896,1024,39,SENSOR,10,0.317299578,0.008265628,9066456.53,1687080.119,48111385.38,8940013.582
54,Plane,105,105,144,7,SENSOR,10,1,0,12397.96438,323.6420741,7333.883411,418.4079121
55,ProximalPhalanxOutlineAgeGroup,400,205,80,3,IMAGE,10,0.84195122,0.005243745,25485.25738,289.3745071,7428.706024,120.0009826
56,ProximalPhalanxOutlineCorrect,600,291,80,2,IMAGE,10,0.860824742,0.006326095,47318.29011,789.4657736,13433.40876,215.4227361
57,ProximalPhalanxTW,400,205,80,6,IMAGE,10,0.772195122,0.013219822,27680.20173,477.4692589,8337.937809,297.241911
58,RefrigerationDevices,375,375,720,3,DEVICE,10,0.530133333,0.010502439,1996511.096,33266.24549,1136327.177,27926.81413
59,ScreenType,375,375,720,3,DEVICE,10,0.448266667,0.010699948,1784956.906,24354.90673,1054202.626,14557.32918
60,ShapeletSim,20,180,500,2,SIMULATED,10,0.761666667,0.019676743,38416.89967,886.9415313,210173.7131,6126.4399
61,ShapesAll,600,600,512,60,IMAGE,10,0.870333333,0.006024641,7450360.713,1659101.845,3871606.822,956644.3477
62,SmallKitchenAppliances,375,375,720,3,DEVICE,10,0.742933333,0.009834181,1459814.26,29747.13424,859230.3364,17198.59618
63,SonyAIBORobotSurface1,20,601,70,2,SENSOR,10,0.827953411,0.006980425,472.7993256,18.18327987,8085.185576,315.8583245
64,SonyAIBORobotSurface2,27,953,65,2,SENSOR,10,0.889506821,0.00694367,600.1314992,9.331381238,13119.60294,404.1281209
65,StarlightCurves,1000,8236,1024,3,SENSOR,10,0.979929577,0.000505666,7424140.2,1556106.779,30059575.3,5819553.521
66,Strawberry,613,370,235,2,SPECTRO,10,0.962972973,0.004602537,346226.9473,7078.806273,118887.6839,2694.292036
67,SwedishLeaf,500,625,128,15,IMAGE,10,0.94176,0.005396954,144878.6816,3951.601633,102981.616,4494.5584
68,Symbols,25,995,398,6,IMAGE,10,0.960201005,0.003796105,15105.55049,834.276436,363005.8846,23414.27805
69,SyntheticControl,300,300,60,6,SIMULATED,10,0.995,0.001756821,12661.05918,413.5396062,7209.50983,387.4100668
70,ToeSegmentation1,40,228,277,2,MOTION,10,0.900438596,0.017180695,22398.15502,702.9062936,76902.45201,2357.381306
71,ToeSegmentation2,36,130,343,2,MOTION,10,0.865384615,0.01269166,23822.86091,591.308219,53404.40545,1837.842897
72,Trace,100,100,275,4,SENSOR,10,1,0,37658.64181,1282.683244,20527.78158,564.5048439
73,TwoLeadECG,23,1139,82,2,ECG,10,0.96786655,0.011493533,626.6674099,24.89803032,19313.15032,610.8866123
74,TwoPatterns,1000,4000,128,4,SIMULATED,10,0.999725,0.000275126,193294.1789,3199.581275,453445.2942,9803.418495
75,UWaveGestureLibraryAll,896,3582,945,8,MOTION,10,0.97160804,0.000994022,10674874.58,2315683.101,21099455.18,3937780.732
76,UWaveGestureLibraryX,896,3582,315,8,MOTION,10,0.823227247,0.002113049,1154811.788,29965.70991,2216110.292,80078.01926
77,UWaveGestureLibraryY,896,3582,315,8,MOTION,10,0.760580681,0.002494229,1193053.987,26456.57033,2288801.787,72184.73097
78,UWaveGestureLibraryZ,896,3582,315,8,MOTION,10,0.757481854,0.003802983,1156216.992,22870.30355,2262737.043,40579.35625
79,Wafer,1000,6164,152,2,SENSOR,10,0.995408825,0.000296688,124253.8629,2097.32599,390924.4401,9788.912307
80,Wine,57,54,234,2,SPECTRO,10,0.533333333,0.019125844,18050.29647,486.1007082,9485.811031,235.0237198
81,WordSynonyms,267,638,270,25,IMAGE,10,0.764106583,0.006660161,387711.1745,15667.15447,490801.3437,33996.39173
82,Worms,181,77,900,5,MOTION,10,0.68961039,0.021601688,1691187.077,208304.792,419241.6048,52166.26755
83,WormsTwoClass,181,77,900,2,MOTION,10,0.77012987,0.012320562,1560296.452,29838.70235,374055.9981,8777.063608
84,Yoga,300,3000,426,2,IMAGE,10,0.8749,0.002434576,552715.2307,72046.77552,3008905.82,418297.8198
