,dataset,trainsize,testsize,length,classes,type,repeats,accu mean,accu std,train mean,train std,test mean,test std
0,Adiac,390,391,176,37,IMAGE,10,0.732992327,0.010029286,368018.9312,61727.89854,224320.453,27567.10849
1,ArrowHead,36,175,251,3,IMAGE,10,0.858285714,0.010363025,13843.80677,547.0833808,40811.8189,1274.301318
2,Beef,30,30,470,5,SPECTRO,10,0.723333333,0.022498285,46387.07445,1982.833696,28354.81152,1934.045521
3,BeetleFly,20,20,512,2,IMAGE,10,0.83,0.042163702,17420.8877,528.936891,11499.45168,521.841701
4,BirdChicken,20,20,512,2,IMAGE,10,0.885,0.033747428,24750.44701,471.2560381,15389.01327,401.7615537
6,Car,60,60,577,4,SENSOR,10,0.841666667,0.018002057,148480.0308,5707.002163,81463.2209,2919.93994
5,CBF,30,900,128,3,SIMULATED,10,0.993666667,0.003592784,3024.745374,106.2154074,53649.05638,3008.266417
7,ChlorineConcentration,467,3840,166,3,SIMULATED,10,0.632161458,0.002277716,229700.4013,4032.30609,1052411.435,18775.00926
8,CinCECGtorso,40,1380,1639,4,ECG,10,0.92,0.008221081,700824.9876,79790.21931,13629900.68,828414.2728
9,Coffee,28,28,286,2,SPECTRO,10,1,0,8520.60537,336.0647919,4780.549879,326.2428928
10,Computers,250,250,720,2,DEVICE,10,0.6388,0.015668794,1588961.421,398687.389,921026.6645,224854.5656
11,CricketX,390,390,300,12,MOTION,10,0.795384615,0.006816206,685604.4397,61554.46154,368697.8027,16760.92427
12,CricketY,390,390,300,12,MOTION,10,0.790769231,0.008304245,993574.9884,36471.00698,542662.3833,32830.64778
13,CricketZ,390,390,300,12,MOTION,10,0.8,0.009819765,900783.1212,37832.6151,498724.7099,20416.55564
14,DiatomSizeReduction,16,306,345,4,IMAGE,10,0.966666667,0.004569973,7248.995442,347.4965047,88214.76581,6199.264777
15,DistalPhalanxOutlineAgeGroup,400,139,80,3,IMAGE,10,0.737410072,0.011869898,36927.30022,831.355228,8161.80777,244.7807733
16,DistalPhalanxOutlineCorrect,600,276,80,2,IMAGE,10,0.777173913,0.007296525,80252.67604,2149.432174,21498.28669,631.6035343
17,DistalPhalanxTW,400,139,80,6,IMAGE,10,0.651079137,0.01234488,39836.31992,815.7273766,8581.757459,142.7309224
21,Earthquakes,322,139,512,2,SENSOR,10,0.755395683,0.003391399,881634.0624,7286.17448,220177.8028,2738.133687
18,ECG200,100,100,96,2,ECG,10,0.903,0.008232726,7293.677994,196.2485343,4080.723491,140.4865119
19,ECG5000,500,4500,140,5,ECG,10,0.937822222,0.000947453,97897.68393,1941.885087,454171.9393,10192.20103
20,ECGFiveDays,23,861,136,2,ECG,10,0.827874564,0.009882484,2157.669312,90.53971704,47718.61098,2011.924856
22,ElectricDevices,8926,7711,96,7,DEVICE,10,0.695292439,0.003406652,1861548.38,301200.5761,932561.1253,146425.1773
23,FaceAll,560,1690,131,14,IMAGE,10,0.931301775,0.00436116,205964.0357,6628.505328,336554.9633,13221.45169
24,FaceFour,24,88,350,4,IMAGE,10,0.946590909,0.00935537,13717.62991,520.042732,29218.98695,2333.064155
25,FacesUCR,200,2050,131,14,IMAGE,10,0.939902439,0.00283319,73333.3483,1305.659614,421407.5503,13949.10383
26,FiftyWords,450,455,270,50,IMAGE,10,0.818021978,0.005842462,1141148.954,59861.8176,605997.0658,49880.75192
27,Fish,175,175,463,7,IMAGE,10,0.92,0.011428571,293362.2649,11590.79083,163975.9992,9550.829326
28,FordA,3601,1320,500,2,SENSOR,10,0.850606061,0.007911741,23099099.89,1234312.75,4514504.861,269784.2752
29,FordB,3636,810,500,2,SENSOR,10,0.700493827,0.007480209,21530072.53,3107574.458,2759670.863,336769.0172
30,GunPoint,50,150,150,2,MOTION,10,0.997333333,0.003442652,4701.21018,65.63146599,8700.058685,215.5998226
31,Ham,109,105,431,2,SPECTRO,10,0.656190476,0.025574773,178589.721,3038.266421,95130.43771,2200.204168
32,HandOutlines,1000,370,2709,2,IMAGE,10,0.914054054,0.00552422,123883799.6,7358962.614,24585988.59,1975954.608
33,Haptics,155,308,1092,5,MOTION,10,0.445779221,0.010609373,1807179.693,328749.6884,1994656.163,334550.5671
34,Herring,64,64,512,2,IMAGE,10,0.584375,0.033104685,158518.2188,2045.957364,91804.68195,1348.169881
35,InlineSkate,100,550,1882,7,MOTION,10,0.473272727,0.010428822,3990757.54,781686.3859,13469785.42,2078021.508
36,InsectWingbeatSound,220,1980,256,11,SENSOR,10,0.615707071,0.00476434,185443.5876,5241.202482,863927.1133,45587.52488
37,ItalyPowerDemand,67,1029,24,2,SENSOR,10,0.965403304,0.001843894,206.6654486,13.29930553,1937.858735,105.1641853
38,LargeKitchenAppliances,375,375,720,3,DEVICE,10,0.7712,0.006260202,1530075.052,22235.19403,872550.9403,13344.59207
39,Lightning2,60,61,637,2,SENSOR,10,0.886885246,0.014354017,174946.9768,2657.23755,96637.46954,2346.247068
40,Lightning7,70,73,319,7,SENSOR,10,0.810958904,0.016839351,49973.81791,1992.156221,31018.51664,1197.314951
41,Mallat,55,2345,1024,8,SIMULATED,10,0.957185501,0.00275045,393650.443,20369.14844,8390802.131,777654.049
42,Meat,60,60,448,3,SPECTRO,10,0.933333333,0,44577.24798,1500.286736,26120.89774,1130.255584
43,MedicalImages,381,760,99,10,IMAGE,10,0.755657895,0.004163203,54937.00919,924.2911277,64387.77597,2178.640417
44,MiddlePhalanxOutlineAgeGroup,400,154,80,3,IMAGE,10,0.574025974,0.017098197,23860.4528,377.6873884,6684.116454,98.70890599
45,MiddlePhalanxOutlineCorrect,600,291,80,2,IMAGE,10,0.829209622,0.004301256,49094.34177,767.2692279,14599.68273,391.1981356
