,DTW_Rn_1NN,WDTW_1NN,DDTW_Rn_1NN,WDDTW_1NN,LCSS_1NN_DELTA,LCSS_1NN_EPSILON,MSM_1NN,TWE_1NN_NU,TWE_1NN_LAMBDA,ERP_1NN_G,ERP_1NN_BANDSIZE
RefrigerationDevices,0.08,0.05,0.06,0.01,80,0.377515173370092,0.244,0.00001,0.088888889,0.199860974137107,0.0833333333333333
ScreenType,0.17,0.02,0.13,0,40,0.377515246010015,0.01,0.0001,0.011111111,0.643996596134731,0.0555555555555555
ShapeletSim,0.02,0.06,0,0.9,28,0.998999132015447,0.46,0.0005,0.088888889,0.199799826403089,0.0833333333333333
ShapesAll,0.04,0.08,0.1,0.03,43,0.199804598144651,0.568,0.0001,0.066666667,0.199804598144651,0.0555555555555555
SmallKitchenAppliances,0.15,0.01,0.21,0.02,20,0.91047793607962,0.01375,0.05,0,0.199861010358941,0.111111111111111
SonyAIBORobotSurface1,0,0.86,0,0.36,4,0.992833923106203,0.532,1,0,0.19856678462124,0
SonyAIBORobotSurface2,0,0,0.16,0,4,0.198455389271116,0.1,0.00001,0.044444444,0.551264970197545,0.0555555555555555
StarLightCurves,0.06,0.1,0.13,0,142,0.199902338179845,0.496,0.0001,0.033333333,0.199902338179845,0.0833333333333333
Strawberry,0,0.17,0.03,0,0,0.199574018756673,0.02875,0.00001,0.011111111,0.909170529891511,0.0277777777777777
SwedishLeaf,0.04,0.36,0.05,0.05,11,0.19921718642096,0.28,0.0005,0.088888889,0.287758158163609,0.0555555555555555
Symbols,0.08,0,0.11,0.01,44,0.199748624457887,0.01375,0.00001,0.011111111,0.288525790883615,0.0833333333333333
SyntheticControl,0.07,0.01,0.22,0,2,0.991631964402028,0.136,0.00001,0.044444444,0.37461651988521,0.0277777777777777
ToeSegmentation1,0.08,0.02,0,0.46,23,0.998193525588774,0.784,0.00001,0.088888889,0.998193525588774,0.166666666666666
ToeSegmentation2,0.05,0.07,0.09,0.04,57,0.732263347650408,0.01,0.00001,0.044444444,0.643504153995813,0.194444444444444
